店名	ジャンル	最寄り駅	価格帯	
神保町食肉センター	焼肉	神保町	950円	
金剛	焼肉	神保町	～1,000円	
いもや	とんかつ	神保町	～1,000円	
アルカサール	ハンバーグ・ステーキ	神保町	～1,300円	
いきなりステーキ	ハンバーグ・ステーキ	神保町	～4,000円	
丸香	うどん	神保町	～1,000円	
カーマ	カレー（インド風 ライス）	神保町	～1,000円	
ガヴィアル	カレー（欧風）	神保町	～1,500円	
ボンディ	カレー（欧風）	神保町	～1,500円	
マンダラ	カレー（インド風 ナン）	神保町	～1,200円	
ムンバイ	カレー（インド風 ナン）	九段下	～1,200円	
チャボ	カレー（ホワイトカレー）	神保町	～1,000円	
鴻 （オオドリー） 	カレー（スープカレー）	神保町・御茶ノ水・小川町	～1,000円	
エチオピア	カレー（インド風 ライス）	神保町・御茶ノ水・小川町	～1,000円	
天鴻餃子房	餃子	神保町	～1,000円	
スヰートポーヅ	餃子	神保町	～1,000円	
大戸屋	定食	神保町	～900円	
さぼうる2	カフェ パスタ等	神保町	～1,000円	
ぴえもん	パスタ 和風	九段下	～1,200円	
イタリアン酒場P	パスタ	九段下・飯田橋	～900円	
雲林坊	担々麺	九段下	～1,000円	
タンメンシャキシャキ	タンメン	九段下	～1,000円	
源来酒家	麻婆麺	神保町・九段下	～1,000円	
三希房	中華（四川）	九段下	～1,100円	
OleOle	洋食	神保町	～1,000円	
青葉	ラーメン・つけ麺	飯田橋	～1,000円	
つじ田	ラーメン・つけ麺	飯田橋	～1,000円	
ラーメン二郎 神保町店	ラーメン	神保町		
みかさ	焼きそば	神保町	～900円	
バーガーキング	ハンバーガー	飯田橋	～1,000円	
森のブッチャーズ	肉ランチ	神保町	～1,000円	
おけい	餃子	飯田橋		
高はし	ラーメン	飯田橋	～1,000円	
リンガーハット	ちゃんぽん	飯田橋	～800円	
東京油組総本店 神保町組	油そば	神保町	～1,000円	
花子	お好み焼き	九段下	～1,000円	
一真	蕎麦	九段下・飯田橋	～1,000円	
洋々亭	中華	九段下	～900円	
